City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,69.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
1,Male,MV,82.36,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
2,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Ransang,PH,84.24,heavy intensity rain,8.9603,117.5828,Black and Crystal Sand Campsite
8,Laguna,US,85.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
10,Sao Filipe,CV,75.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
11,Tuktoyaktuk,CA,64.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
14,Rikitea,PF,74.48,clear sky,-23.1203,-134.9692,People ThankYou
17,Busselton,AU,61.0,clear sky,-33.65,115.3333,Observatory Guest House
18,Tabuk,PH,88.81,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
19,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
21,Ribeira Grande,PT,71.87,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
23,Madang,PG,81.73,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
24,Marshall,US,77.38,broken clouds,34.3834,-86.3333,Riverview Campground
25,Esperance,AU,61.66,clear sky,-33.8667,121.9,Hospitality Esperance
28,Avarua,CK,71.65,moderate rain,-21.2078,-159.775,Paradise Inn
30,Arlit,NE,87.49,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
31,Nikolskoye,RU,63.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
33,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Kavaratti,IN,80.56,light rain,10.5669,72.642,Green leaf
36,Znamenskoye,RU,70.56,broken clouds,57.1281,73.8282,"Gostinitsa ""Kolos"""
38,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Kavieng,PG,82.63,light rain,-2.5744,150.7967,Nusa Island Retreat
42,Srandakan,ID,83.55,few clouds,-7.9386,110.2506,Puri Brata
43,Lompoc,US,71.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Cockburn Town,TC,81.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
46,Astakos,GR,76.37,clear sky,38.5356,21.0814,Stratos S.A.
48,Sur,OM,86.74,broken clouds,22.5667,59.5289,Sur Plaza Hotel
49,Dong Xoai,VN,85.42,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
50,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
52,Atuona,PF,76.89,broken clouds,-9.8,-139.0333,Villa Enata
53,Lata,PT,61.79,broken clouds,40.1629,-8.3327,Casa Maquia
57,Alexandria,EG,80.33,clear sky,31.2156,29.9553,Royal Crown Hotel
58,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
60,Portland,US,71.55,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
61,Faanui,PF,75.88,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Namibe,AO,62.91,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
65,Meulaboh,ID,83.98,light rain,4.1363,96.1285,Kost Pria
66,Jacareacanga,BR,75.4,broken clouds,-6.2222,-57.7528,Casa do Ian😎
67,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
68,Tongren,CN,82.85,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
71,Itarema,BR,76.14,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
72,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
76,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
77,Wajima,JP,79.48,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
79,La Seyne-Sur-Mer,FR,80.89,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
82,Georgetown,MY,87.75,light rain,5.4112,100.3354,Cititel Penang
83,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
84,Northam,GB,70.25,broken clouds,51.0333,-4.2167,Durrant House Hotel
85,Pangody,RU,70.48,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
87,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
90,Macau,MO,89.4,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
95,Auki,SB,84.69,scattered clouds,-8.7676,160.7034,Auki Motel
97,Morondava,MG,71.47,clear sky,-20.2833,44.2833,La Case Bambou
98,Kikinda,RS,68.58,clear sky,45.8297,20.4653,Bed & Breakfast Twenty
99,Valley City,US,77.52,mist,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
100,North Platte,US,87.69,few clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
102,Altamira,BR,75.45,overcast clouds,-3.2033,-52.2064,Requinte Hotel
103,Newport,GB,78.91,broken clouds,51.5877,-2.9984,ibis budget Newport
106,Butaritari,KI,82.58,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
107,Carnarvon,AU,73.62,clear sky,-24.8667,113.6333,Hospitality Carnarvon
109,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
111,Bethel,US,73.71,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
112,Yulara,AU,73.47,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
116,Cortez,US,76.03,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
117,Shingu,JP,81.72,light rain,33.7333,135.9833,Shingu UI Hotel
118,Havelock,US,84.18,few clouds,34.8791,-76.9013,Sherwood Motel
120,Sinnar,SD,76.55,overcast clouds,13.5691,33.5672,بساتين سالمة
121,Aginskoye,RU,83.8,clear sky,51.1,114.53,Кочевник
122,Fairbanks,US,61.61,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
